id,term,count
d60da1bd,Beat,37
5991bab0,Today,31
ea43e2b7,Such,73
03041b67,Reduce,49
ba741962,By,62
8538028c,Base,55
4efb8676,Cut,85
43df9066,Guy,81
92f0cfe1,Really,56
fd7feeaa,Pattern,16
10c4aa6c,Prepare,46
0608fa7d,Able,63
a9e0d67d,Music,32
c6a1fa63,Standard,73
40909e7d,Budget,97
70e613de,Approach,12
baae22d0,Network,17
9d744d53,Old,14
0c39411c,Ever,18
7fdee695,Sister,96
f1883151,Structure,55
98445e94,Section,84
2a97685b,Possible,32
54f74f57,Election,55
7fe2c333,World,1
5883299d,Thing,93
a593d046,Art,20
5776e2e3,Seat,40
e5661054,Eye,98
66bf8bae,More,63
1813671f,Plant,52
add16f32,While,96
cc79565d,Daughter,52
d98bd7be,Campaign,96
f35ae98b,Out,45
714e6ce0,Still,96
0a86f485,Church,84
9e5922c4,Affect,96
1fc54afa,While,42
873f8c9b,Others,22
350a57f3,Some,5
5f27532e,Behind,80
6fff561d,Energy,46
5fe030c9,Point,45
7b108c9b,Return,34
71d205ba,Art,84
aaf406b2,Every,90
a65204da,Seven,17
b9223bdb,Statement,80
58859fe6,Team,7
db4092ab,Concern,34
0bcc750f,After,24
6ec13781,Evidence,88
9dbb2ad3,Describe,64
70848022,Explain,9
120f94d6,Exist,89
089c4c80,Suddenly,47
138720f2,Until,35
095a03ff,Agent,57
8cd16bd0,Buy,20
5a4c61ee,Will,30
17cc9534,Offer,24
2301c6b3,World,25
fb028fd0,Well,50
5355c8bf,Push,89
3b0e90d8,Military,82
c02c6a05,Team,95
f24803ef,Laugh,44
9996de5f,Watch,85
95e58b31,Work,16
baacf98d,Between,63
d0d222fe,Itself,50
dd077f2b,Thousand,66
8f1bcc5b,Wife,11
9a1b5696,Thing,37
fd9dee1a,Clearly,52
7021a60e,Third,25
b55552ae,Then,67
525327a8,Data,15
10cda8c7,Rule,35
7a742985,Table,24
41f28c18,Sometimes,19
668e8404,North,25
c6408d6f,Make,77
167531d8,By,79
aa209394,Oil,31
999c64a8,Wall,17
32867156,Continue,67
1d4b7ec1,Chance,23
92b61a06,Everything,20
cebbea18,Parent,49
09655b56,Floor,66
65280d97,Lose,19
0e0129ea,Act,95
3030d1c8,Position,46
e331b7b1,Research,75
46de8c88,Film,46
2609f4f1,Something,54
a65c3e63,Audience,23
9cd5721b,Street,88
4440a0b6,Senior,96
d7e378ee,East,74
262a99f2,Wall,23
114d517a,Loss,64
5769b05a,Church,67
99736073,Process,80
fd7e211d,Around,3
621c06be,Size,2
0978d9b8,Detail,62
4e0e77cd,Night,59
66527668,Positive,97
40021b36,Summer,59
10a9b281,Table,89
d695e672,Politics,67
d368d0ee,None,100
06425ed1,Smile,100
d97ce362,Water,39
b8390e6b,Listen,78
1b863602,Smile,83
c0406645,Town,67
6af1942f,Experience,41
4d693c48,These,76
2e3297e8,Run,68
be736abd,Born,41
dcf2fdca,Media,20
7f752635,Development,42
ac8196e7,Down,77
5d028e06,Scene,70
cb3d84b5,Pay,32
1020b282,We,45
ee40dd64,Weight,90
a9412984,Attack,85
dd4bc117,Republican,28
34702215,Total,100
dc3adfa4,After,62
686f2029,Marriage,41
d8318048,Analysis,80
5fb61e4f,First,2
94b66fdc,Radio,27
16f1b6c1,Kitchen,10
8367a94b,About,98
e328d4f4,Still,100
a0481ca8,Range,90
6bb08326,Research,81
a04768b0,Various,21
13228b7b,Question,67
eda719fd,Yard,20
96f74c78,Now,37
ca2c747f,North,55
ac6ebb02,Mr,95
fe91c7ed,Add,45
057dc239,Anything,30
81e8c8a4,Southern,24
81b2b936,Question,25
129f3106,Agent,6
e692e012,Condition,76
bff91a1f,Toward,54
83894d8c,Girl,59
88f234c0,Area,54
003b9de9,Mind,98
ed922f6f,Throw,56
cc29f8bb,Smile,42
153cb227,Response,28
43b11f50,Discussion,75
d5bf3439,Apply,35
eedb68a3,Manager,36
28db7dea,Issue,91
a3394598,Admit,31
f2681ba5,Safe,100
523e7b46,Hope,37
6c6a68a3,Push,4
11eaed63,Sometimes,5
3eb01fb5,Into,32
2c771cb5,Move,20
6048eb73,Walk,55
ba2702a2,Range,83
b94d63ed,Rise,82
868d761a,Evidence,76
a8d41edc,Consumer,25
b944fc4a,Ever,12
3ca2cc80,Goal,11
f7332448,Future,43
7a513e29,Vote,73
fbe9fac8,Society,90
9af964c7,Expect,38
3bb8b257,Explain,72
d50ef489,But,90
611c674b,Item,51
2617db35,Effort,18
ed029b76,Reflect,75
b7a09d7e,Control,92
c7ad6110,Today,46
19c2109a,Head,71
c58aabdb,Though,43
46bfe603,Table,32
88eef812,Someone,58
55b63ec4,Will,43
d6840627,Watch,50
c641ecd6,Coach,87
05053a9d,Hotel,56
6afdba50,World,95
f773c1af,Grow,17
41eb01d0,Pressure,44
fde0446b,Feel,20
36225b38,Culture,66
1d904916,Answer,81
cf8997c7,Paper,57
c343d3a7,Successful,95
a0a1ea4e,Live,85
338107fa,Seem,15
bfc8b65f,Drop,34
cae9f0dc,Environmental,19
3e28572f,Business,71
562b028f,Score,73
ab7d60f8,Response,42
e0645d18,Serve,95
d59fe4fa,Floor,85
e287d04a,Finish,86
1711f67d,Will,35
27a99484,Throughout,74
5bf97026,Gun,93
9cb67410,Sure,76
bfd72bdd,His,51
074e56eb,Case,50
90319e27,People,5
047b6c5d,Word,92
f0fc4ee2,Remember,4
784b6786,Type,96
64b90892,Peace,97
0da69cd0,Tax,61
2b3d4043,Society,67
60d874c3,Notice,97
b2a901de,Nature,54
53edd08d,Same,1
71f80b92,Wind,46
76f51bc5,Pretty,51
16a58d2a,Foreign,13
d9cd74fe,Sure,79
b9885e5e,Assume,48
e73c58ba,Everything,23
0f640035,Feel,26
6a6e085f,Leader,36
71486d0f,Wide,91
ae2da7a6,Hand,48
216ab0c0,Rest,50
1f886d4f,Design,51
10f9924b,Career,74
563f26f0,Item,58
245fa651,Space,14
d3ea537f,Trouble,16
5e631dcc,Full,12
f1e35e2b,Side,12
0bfae9fc,Mission,43
b529f083,Scene,79
349f8129,Bed,29
19d3d21d,Game,73
b2e3ba78,Movement,9
99d2af6a,Tree,7
0beb8c6a,Discover,20
0d8f0cd5,Surface,73
2328acbf,Amount,14
8fa6087c,Go,12
bc6bf905,Professional,86
7d87620a,Operation,40
17ff7238,It,96
01280a69,Send,10
e64bbb52,Day,39
97fe141b,Top,79
432f7f55,Total,50
1767ecdb,Any,81
54eba4ea,Discuss,84
62719077,Include,2
5e0ba579,Team,84
153aa8ea,Pick,19
0530529e,Same,18
25182bb7,Above,85
44334637,Knowledge,36
8cfe505e,Sit,99
f8b50bab,Huge,80
2d2fbd74,Skill,69
110463a2,Month,90
f7ad6379,Moment,4
4054de7f,Anything,50
20041240,Charge,63
2cde54d3,College,28
9bf57b1a,Guy,31
72b336ef,Hear,75
73d7d992,Any,46
24daed81,Each,82
08dc52cd,Condition,95
99371930,Conference,74
dd933336,Camera,44
7f1f7779,House,73
a840c57b,Audience,72
2d547e39,Couple,98
349c0712,General,22
d873af96,Lead,11
bdec12be,Own,75
e2f13c9b,Sit,74
fa5ed1c9,Reflect,33
14719ae5,Purpose,52
15f1c1c3,Along,21
d624258e,Man,79
f8c4c469,Could,43
a56a7e70,Accept,52
f23b6f19,Event,59
4069012d,Think,73
c7a5f6de,National,78
ba6c3f28,Still,77
7f502cfa,Nature,57
63f1a2d1,Price,20
c0ab6fa7,Turn,87
488ded1f,Last,3
2cd5f120,Morning,74
5ece6802,Believe,65
9ffecd9a,Do,12
c0061cc0,Red,64
f3e86e72,Pay,39
4f06c4a1,Deep,54
c10723c8,Into,86
d5f35857,Card,60
d4898aae,Thus,46
f56041bd,Soldier,86
f8d5c920,Join,73
1b4b6ca7,Sing,32
1f412252,Very,84
f0f899e4,Family,44
0e7a9c5c,During,100
b33af2ee,Area,16
936a9085,War,60
db6293d1,Difficult,29
aada9175,Manage,5
6c575495,Detail,20
a645cfa2,Shoulder,52
42980040,Little,38
cb797ae3,Send,93
9fa0b440,Show,75
7d2056db,Audience,62
fa7b637c,Participant,52
e58670e4,Feeling,12
e0063fc6,Become,32
92f57b8a,Plan,46
276a422a,Husband,32
b95cf9bb,Product,27
8bcb4110,Throughout,89
6a767cc8,Large,61
7f9cd6bc,Only,58
ce3fa339,Give,96
30747389,Evidence,71
7574f6a2,Radio,53
e7c85d8c,Like,44
8e198b42,Receive,13
9ae23351,Into,6
77ed58e8,Happy,81
e9996f30,Kind,40
4a00f618,Run,37
40e29252,Media,54
a49bb425,Top,43
530ae524,Drug,2
c69cec1e,Discussion,59
300d51d1,Tend,66
ad821b67,Today,91
55b7b049,Give,55
7a44c386,Health,71
cfee0a3f,Scene,40
76666dda,Affect,62
bc4001b8,Role,89
78af7bda,Year,1
a88a9fcd,Consumer,14
fd16ccdb,Nearly,51
074d9eab,Raise,47
af20c746,Fight,87
90561ca8,Data,37
57962e71,Entire,67
050f87c3,Five,9
22ab5467,Find,73
c77eca4d,Question,48
24d50bce,Its,95
495eb04d,Soldier,31
1ce82946,Product,81
d3168721,Lead,64
a051c5e5,May,9
17eb61bf,Light,36
04b1dec7,Recently,17
ff6283f6,Individual,97
6edfbb50,History,62
e673e21d,Trouble,57
f1a28910,Town,82
0fdef6ca,Word,98
1b0d38d4,Commercial,73
ba02b6ae,Mind,51
25dc636f,Least,27
e35701ce,Fire,54
6f8159b4,Career,55
0843e695,Step,66
865008fd,Cultural,70
ea36f89f,Second,90
072b065f,Your,51
3950e669,Stand,43
9d2ed334,Civil,91
56527fd8,From,32
8c1d3f6a,Number,73
9e23232f,Rather,71
0964b8db,Last,34
5f79ddf2,Billion,55
625936fc,Old,52
864341e6,Yeah,86
5968932e,Half,32
430769b9,Deep,66
51ea457c,Part,14
be24bfaa,Democrat,45
d0ff9872,Better,60
d954cc59,Person,87
d783b592,Wear,38
126816cc,Your,60
ff0dcb78,Yard,59
35c56676,Level,41
c4cc78c9,Out,99
189da507,Marriage,45
084eb47d,Than,69
31ccf433,Argue,88
53c347b9,Enough,50
eabcca03,Increase,4
9c2a7803,One,54
18fab0c6,Break,100
b6783b7e,Body,65
45edd309,Trip,66
61f53fb0,Join,85
2bbbb035,Brother,77
aba694e4,Yes,48
30161c28,Story,25
1fa27059,Nature,20
dbfa59ac,On,14
fed86332,Arm,15
d58bff37,Fish,20
bf28e806,Itself,5
61ef45d7,Ever,58
665cd6cf,Break,45
359c2991,Long,8
11e4dba8,Five,61
d5ccd5b9,Girl,16
67c55630,Hundred,16
a186934c,Husband,63
1b4904b2,Right,21
1c193b51,Cut,66
77bf340b,Group,71
d8939775,Push,82
cd4cfa13,Inside,3
a77c6146,Husband,80
36ec6b83,Serious,15
67a799a6,We,63
138801b3,State,13
1df1f209,Speak,63
2a0da761,Great,54
76132fb7,Hold,100
81023749,Out,45
cdfd9c6b,Fear,46
ed4073b2,Project,96
ad6edbf9,Trip,83
3d2a9feb,During,8
1552dd16,Thank,3
33a751a7,Professional,25
233aea8a,View,96
5252e04f,Law,47
d4158f0d,Condition,25
6ad3f342,Manage,24
1276123d,Sing,24
114e593d,Report,60
30f2c53c,Bank,98
991c5295,Good,34
c221a13c,Least,75
ab0c1aad,Become,41
b2717d4c,Participant,23
d5beb1d3,Property,43
29e9cb50,Tax,2
557f111f,Democrat,3
b27e6d35,Camera,10
ff67374b,Food,13
70a5f0c5,Around,66
75035661,Street,52
7886b2e6,Article,23
a86a44e4,Most,88
768be0cf,Address,100
d98ee553,Wonder,97
f9a1f913,Travel,37
8eb18c5c,Enjoy,65
d5784efb,Fire,53
890f21ed,Out,15
bed95477,Reach,85
ac52d5af,Thank,7
405209d9,Citizen,100
f35b0b4a,Movie,96
90747d39,Spend,9
b6178725,Hold,39
baede072,On,18
d779f493,Under,82
f61a6f7d,Event,79
658c462b,Let,35
2da8dc17,Former,84
d446eb70,Maybe,30
8876f8c3,Notice,94
5b6ebb3d,That,10
d792d8e2,Heavy,59
7418f3a6,Final,42
b772d9dc,Last,9
d8c10edb,Season,31
51834bc5,Eye,70
b80b4c6c,Several,52
22d44bec,Mrs,19
7a3ca6b4,Yourself,28
85c6fc47,Purpose,74
4039ed21,At,63
489891a6,Doctor,21
884ea88e,Medical,45
85084db7,Yes,41
6887c108,Hair,74
385ba4cf,Camera,33
711f5bcb,School,80
79b86c00,Create,24
5c81d703,May,12
40002d11,Like,47
1b620363,Country,21
62f319e7,Fact,76
1bb7f122,Pass,52
702f85c0,Occur,74
e232ac7c,Number,91
1fef9b16,Arrive,6
09d0158b,To,24
4b635c86,Economy,80
2111bdc7,Sport,4
0c31f4ea,Space,70
3d755c4e,Term,72
6137c1c2,Because,42
89d5b5c4,Back,20
e87f02fa,Administration,6
b605f6c0,Possible,93
0d5bac68,Strong,29
6129afa4,Population,63
b7bd3811,Take,24
0686eaa4,Point,40
6a197e5b,Price,39
3f987a15,Test,26
69314fa8,Film,76
179cb090,Treatment,59
8150ecec,Husband,12
3a915d69,Lay,48
9cb07fcc,Coach,74
00e5ccee,Leader,89
cfc6b16e,Player,75
89bfca07,Different,23
dee219e1,Remember,71
dd58c683,Return,85
7ea130d5,Never,93
618c8b43,Choice,62
d43cf7e5,Term,31
cb385952,Myself,71
ce30a1e5,First,78
b1cebcaa,Buy,26
fe9ba831,Speech,80
8f970fa0,Listen,41
811243b6,Anything,85
4101d084,Military,100
535c3765,Center,17
7ffa4977,Dark,80
cf395f4d,Instead,78
a9b7ab07,When,91
1f111f3e,Meeting,82
1c236cb0,Accept,26
6dd7249d,Everything,88
4d6fcb4e,Open,46
32ba2e62,Open,71
a9e04ebc,At,47
64208141,Structure,4
ca2e86be,Soon,8
c222c77a,Stop,61
5a87ffef,Explain,33
05137901,Fill,84
33607cbd,Our,43
31130378,Process,39
c10b83ed,Treatment,24
7505908e,North,56
684851da,Indicate,87
69f34c8f,Direction,74
d6d28e18,Nation,100
37e71cac,Month,85
e0c223fd,Religious,14
7b172091,Perform,46
b4e95eb7,Ahead,44
57563152,Ahead,44
a3fb18e4,Range,86
bc87f705,Person,17
165dd562,Car,91
46587611,Drop,61
2e7b2c3b,Several,19
3b9433a3,Coach,72
16fbbc49,Join,52
ec4eaf3c,Modern,39
32c0531c,Might,84
58383419,Have,64
9fcda560,Issue,31
1bbbd927,There,14
67ee1975,Run,4
b6c89784,Push,20
bff3a163,Daughter,35
d1d32cd4,Of,96
2622a639,Tree,11
a04e965b,Especially,71
57babc0a,Already,50
6d0ba8f3,Price,94
89a8bab0,Could,63
b6d3e366,Entire,5
cf3be44e,Alone,92
934da636,Include,38
c0615cb5,Magazine,25
3d9f433f,Several,14
615ee508,One,91
6f782824,Feel,7
af99839b,Deep,64
f8a25f21,Type,9
0e8854d7,Kid,75
06227886,Sense,9
59e68c77,Claim,44
646fb6bb,Between,9
ce5a4375,Public,45
6ba3d175,Film,18
0dc159d3,Agree,30
5166091b,What,23
36d22648,Back,45
cc2a7c26,Tv,74
0b77806c,Yes,66
5e7700f3,Make,4
906c39e9,And,15
22c2933e,Model,96
f804ac8a,Thousand,50
7e56a8e1,Both,99
8bdc1487,Rather,82
458aa84d,Deal,42
9197bf52,Two,99
9ddeacdb,Sure,66
99f90d5f,Usually,66
337c84b6,Within,62
2a5db4d6,Pattern,86
4f99d2e3,Grow,64
add4d0fd,Than,71
e19c3953,Participant,54
c7800b51,Manager,43
7b8a1259,Identify,100
dd500afe,Size,57
5d3fb9c9,Cultural,12
baa5966a,Religious,11
b39924e7,Boy,63
bbefaa4f,Drop,64
1e6a502a,Mr,47
e539dbc0,Rest,63
ea8f39cf,Work,89
e9877789,Before,88
d2807bdf,Financial,16
cbd1a49d,Life,94
0570885e,Political,39
bd6ac2b9,Force,64
257d832a,Bar,73
817bb620,Group,28
7c23ed13,Himself,31
8f7b59ad,Return,94
5313174a,See,66
a918ab89,Especially,92
16025e74,Her,100
aa461195,Again,3
ce112592,Pay,53
16b0f29f,Really,49
c67c2020,Remain,69
9ea4e501,Party,19
f0a9df5b,Event,70
4a90997f,Too,65
e92107c8,Treat,85
c41fef02,Loss,22
f6c259d0,Sister,10
a1bd9679,Into,74
0a3f110f,Marriage,99
5e69db9d,Court,59
0aa9eeb2,Show,57
d0c0782a,On,3
cdbc54fa,Data,52
798bf29d,Him,16
0d7c48b1,Also,57
29e45941,Guy,58
d2f99036,Meeting,58
ae3245b1,Company,55
06754801,Real,68
5be2fe03,Recently,4
65a9be78,Whether,25
6587369a,Window,28
08d699bc,Better,16
d8301576,Turn,76
93714738,Pressure,15
60a9f29a,Sound,12
9ba90944,Care,17
ebe63d4c,Together,95
e49fb94c,Start,44
6903b49f,Body,4
c65af375,Scientist,39
48f450a7,Effort,37
22d2d6cb,Science,94
860d07d2,Though,16
f405e926,Condition,61
c6dfe5fa,Animal,97
9974627b,Amount,55
d8779eef,Capital,95
fb631854,Child,5
7b610c5e,Oil,57
cbfd0eb5,Between,13
0edcaa04,Listen,66
d6df71f6,Market,45
57b0eafb,Thus,8
c4d92cbc,Floor,73
247efe5f,Must,86
0b8ff9ab,Work,98
e1063767,Ever,32
d7bb9f05,Born,35
e756d276,Really,51
624d0937,Town,30
8a426173,Hand,7
181c5938,Nation,26
a8bad7c1,Wear,94
1de01452,Prove,1
dc2510e2,Cell,78
f6ea0c96,Describe,84
0dac2d6e,Relationship,33
a2c62fab,Evening,92
cc9935f5,Science,73
7549c8d0,Computer,5
bc00622c,Show,49
67393720,Once,68
d9dc3bb5,Gas,89
724d86dd,Four,23
dd1f34ef,Letter,17
877888b7,Son,68
911c76b9,Suddenly,8
e551a88c,Put,87
cb341eee,Road,43
fac4dfe6,And,22
978e67b1,Statement,64
631977e7,Official,48
8d688441,Stand,9
5941b7b4,Couple,62
043278cb,Drop,21
73627367,His,18
f3ceaa5a,Air,44
fb23f74b,The,96
1a91f530,Method,7
ecba6bb1,Allow,6
36b466e2,Run,20
f61de7c9,Size,26
eec54284,Draw,90
12006f6e,Beat,25
3fafcf9f,Make,12
87617160,Art,44
f114ef7c,Glass,88
dc2e2105,In,19
05fe2373,Ask,26
0b77754d,Page,64
e6518ed6,Stay,84
d02f705d,Item,19
c2e6125d,Several,29
b855e974,Story,39
4f592c43,Value,30
22f99884,Series,73
026a548b,Dog,34
bcaab3dd,Long,41
8445251b,American,32
5302d264,Nice,38
acde0fa0,Improve,67
abb673a2,Enjoy,94
a3ff06ec,Marriage,4
517d23df,Even,62
06767982,Team,74
9351c160,Let,57
619b9bba,Difficult,15
340a2f22,Last,13
e0f3d830,Yard,96
0673dfbd,None,90
d2ee96c9,Begin,81
1ff51c05,Red,99
c978b9fb,Then,31
015c79f6,Smile,85
996f84b9,Decision,34
24f7220a,Manager,43
25849576,President,74
e1319718,Someone,43
f52da2bf,Where,81
2b218927,Type,83
f91399f5,All,88
a15f3b04,Type,68
4d0313a6,Deep,35
d281dcb4,Sister,86
0ae64eda,Key,98
b9a8e674,Skin,52
691a3856,Bring,66
ecedd845,Machine,36
c1839eca,Close,99
1c9d110a,Us,32
449f5440,Worry,55
31b8e85d,Certainly,78
c8ef8355,Contain,92
7081ad29,College,46
d8838bb0,Direction,34
fc9840ca,Change,18
509a5fa0,Night,16
d72011d3,Prove,38
06c160fd,Morning,26
564bd861,Political,15
b4243369,Image,45
1ce7d9e5,Reach,32
fd8959f5,Red,56
9d697b08,Paper,90
64a8c156,Mission,2
79e84839,About,72
cce47e85,Later,24
37de74d3,Have,67
7d335071,Yard,86
d996a701,Check,68
88793a20,Appear,89
23bcaef9,Allow,86
98a465f8,Sure,99
13c83928,Year,96
d657e759,However,10
6f69ed6b,Rock,22
e26e3c87,Value,43
0df3a569,Protect,69
17221eab,Exactly,78
5c1b48bd,Much,35
4da402bc,Democratic,71
33a8c18f,Result,90
8581e38b,Investment,54
18c6fc59,Yes,70
731b6899,Less,89
b88a7d33,All,65
8fa10681,Reduce,6
5bbfde74,Police,10
fc1c9f6c,Fear,95
abe16b48,Right,77
be52679b,We,97
ce672262,Quite,77
2e825d94,Your,37
783f44f2,Ready,81
18316217,Project,31
7641283c,Commercial,8
2e360864,Forget,27
57664c0a,Smile,18
e334764f,Discussion,72
002f5616,Course,99
124bc99c,Fill,41
b94a6a59,Central,52
4a48e7a4,Rock,5
27166cc4,Process,41
03362ab2,That,35
7568c6d1,Each,29
56e98e27,Whether,72
337f6dd9,Stand,27
fb8f8da7,Step,81
59d4c07a,Over,81
cabc72ad,Us,63
09137484,Second,2
deeec3d3,Course,42
e7a416e2,Hundred,62
bc9a26a5,Western,92
4479c80b,Generation,19
0e351006,Light,90
f7d55333,Home,62
810945ea,Over,87
db42a4ce,Rock,19
806f316f,Campaign,47
3e9f10dd,Whether,23
30a2a3f0,Tax,81
a3079467,Argue,73
2bcee98f,Even,69
e4347448,Speak,97
496042fb,Middle,17
256f55b8,Bring,7
9f35aa1e,Picture,100
d5f4b5cc,Cultural,81
a6122a72,Such,45
2d70102d,Exactly,64
b643b1fd,Black,21
0902dc63,Glass,50
5b65b964,Build,100
1a8bad1c,Watch,63
ecb51388,Life,76
b1326955,Whole,40
4965eec7,Analysis,48
fb27ebe8,Set,24
05c5cf04,What,100
2a57d97a,Another,15
2e32c8de,Work,7
286a6a72,Imagine,61
b0730475,Former,71
252bc0c5,Happy,99
492dcf77,By,52
9ee5e6a2,Southern,13
46709861,Skin,56
28f6fce1,There,95
974eb298,Worker,12
b34e2ece,Establish,65
3c7cdbc1,Deep,10
f6a45cf4,Lose,45
55f2b91b,Moment,58
497975b1,Debate,97
a2f6c221,Set,2
66837251,Chair,26
b9acfa0d,Clearly,32
b71e2a2b,Task,13
959a50d8,Line,11
69d7b2ff,Break,5
6e4964c7,Expert,65
3de01d41,Brother,39
770a3fc0,Billion,77
f2a56d23,Make,3
158473ff,Cultural,53
60c90946,Test,19
6bde8d83,Than,55
0246390a,Number,75
7b28da04,On,64
f2c25958,Two,12
dd19270b,May,99
7c5eebb3,Party,40
811901cb,Name,1
48046a8f,Write,3
4c18443e,Chair,57
135e702c,Hotel,83
43575400,Model,79
0fb965f8,Into,65
5688e77c,Future,91
c6349ebb,Response,28
12659744,Save,52
92227416,Husband,36
2a06b982,Represent,68
45c95a11,Natural,29
1950343f,Tv,78
dc731a09,Prevent,98
06b47a27,Law,69
5184f7c8,Draw,99
15bb19df,Cause,56
f1b242a2,Wear,94
9fd1cd38,Parent,24
cd7a642f,Base,26
7eb2aab9,Room,51
f0b3b5f9,Beautiful,11
4ee7deb2,Address,32
14b40cd3,Point,51
546eae09,South,50
08492cc3,Discuss,85
78169109,Class,65
b752ae0d,On,19
2eab01be,Positive,32
6aff000c,End,52
301cedfd,Body,57
2a0b43fb,As,90
fafddc90,Statement,99
edd17d58,Million,37
9564233e,Voice,83
9342fe0e,Push,18
4589e9e3,Future,10
eabee998,Tax,50
5ad7c357,Camera,53
e793a303,Body,78
770090c7,Set,56
4bed9653,Any,24
13c828b6,Lawyer,1
04928d85,Woman,4
3dc01f55,Party,16
2f0c1603,Movement,12
4a921737,Mother,70
1022dbfe,Area,19
b9cc36be,Ever,20
a21c6f7d,Car,67
da462a9d,Kid,81
dd62cc79,Go,97
02ee3381,Soon,87
e42c78dc,Perform,89
e52a8f79,Hotel,41
03b36e01,Democrat,20
866f4545,Occur,94
d9e5eaa7,Wall,10
c232e92c,Accept,49
ce5d1a04,Indeed,81
c828ac99,Open,28
233d52ab,Mother,78
d4815c06,Instead,26
4751dc28,Both,100
5e305b6d,Away,87
be9550b6,Forward,23
f11155ac,Young,95
35b18a30,Both,98
86066b08,Size,83
1e783c0a,Investment,92
45254b76,Exist,91
7e459659,Line,76
59c8dafc,Hope,6
66bb9138,Break,98
ce063d2d,Man,54
a16a6e7e,Again,19
b4e68c50,Leg,76
579fc801,Debate,48
